Name_of_the_video;ind;species;medium;MG;TMG;MGA;DG;MSGO;MAGO;MSGC;MAGC;Mhd1;TMhd1;Dhd1;MSDhd1;MADhd1;MSEhd1;MAEhd1;Mhd2;TMhd2;Dhd2;MSDhd2;MADhd2;MSEhd2;MAEhd2;MHA;TMHA;PCD;tweezer
gold1_pince_1_vdt_ok_cropped;gold1;A_mexicanum;aquatic;0.6817692;0.027;48.65694;0.097;59.57539; 8878.842;-29.20702;3648.179;0.3900516;0.073;0.248;28.10491;4219.673;-4.342466; 865.2196;0.4109553;0.048;0.123;21.73524; 3498.748;-3.709743;1031.957;140.1747;0.021;0.252;yes
gold1_pince_2_vdt_very_good_cropped;gold1;A_mexicanum;aquatic; 0.8316019; 0.031;59.11283;0.083;55.79773;9705.013;-26.56335;2666.971;0.3928713;0.045;0.376;23.40612;4796.304;-4.791434;1755.944;0.3955344;0.043;0.373;25.62836;4818.854;-6.433445;2455.785;152.1158;0.029;0.384;yes
gold1_pince_3c_vdt_ok_cropped;gold1;A_mexicanum;aquatic;1.011059;0.035;62.98383;0.073;67.40907;12077.88;-46.21398;10323.62;0.4414082;0.034;0.153;22.40227;4942.453;-16.9113;15046.33;0.7148515; 0.036;0.157;44.32473;8632.514;-15.7214;4775.129;157.9454;0.027;0.163;yes
gold1_pince_4_vdt_ok_cropped;gold1;A_mexicanum;aquatic;0.610613; 0.02;48.02338; 0.054;61.42287;13771.44;-45.24145;9066.076;0.3832146;0.034;0.198;31.63287;4910.352;-7.750855;1960.267;0.4445437;0.046; 0.214;31.39752;5466.377;-9.906618;2318.826; 148.9779;0.021;0.214;yes
gold1_pince_5_vdt_ok_cropped;gold1;A_mexicanum;aquatic;0.8117216;0.032;49.58473;0.089;64.85749;7413.919;-41.26984;6862.95;0.4086588;0.038;0.418;27.75148;3183.261;-7.112173;1269.17;0.5403003;0.039;0.17;33.2074;4711.074;-8.867696;2049.277;154.5022;0.04;0.422;yes
gold1_pince_6_vdt_ok_cropped;gold1;A_mexicanum;aquatic;0.723588;0.025; 49.73339;0.068;76.80506; 13116.12;-27.19153;5143.535;0.3559003;0.026;0.256;38.41441; 8430.274;-12.16748;6030.202;0.5505832;0.036;0.24;40.8915;9260.825;-8.104415;3551.643;157.5927;0.028;0.262;yes
gold1_sans_pince_1_vdt_very_good_cropped;gold1;A_mexicanum;aquatic;0.769056;0.031;56.86145;0.066;54.65452;6556.528;-33.80727;4031.997; 0.4524922;0.033; 0.225;53.89096; 14254.05;-9.619276;2751.574;0.6336877;0.033;0.37;53.52104; 10523.53;-7.329319;1313.278;148.6413;0.031;0.38;no
gold1_sans_pince_2_vdt_ok_cropped;gold1;A_mexicanum;aquatic;0.7870222;0.027;65.11945; 0.08;47.36149;7428.64;-41.6794;4864.047;0.4736569;0.028; 0.256;48.80725;6540.28;-22.63663;4030.99; 0.572531;0.03;0.213; 46.34548;7358.457;-16.19327;4056.92;133.8465;0.026;0.261;no
gold1_sans_pince_3_vdt_very_good_cropped;gold1;A_mexicanum;aquatic;0.7783623;0.025;50.2322;0.056;62.37707;6501.013;-47.93641;6324.816;0.4428333;0.026;0.351; 48.44187; 8411.632;-4.535947;3255.671;0.5919423;0.035; 0.28;36.61238;3299.624; -9.802931;1604.373;146.0475; 0.029;0.355;no
gold1_sans_pince_4_vdt_ok_cropped;gold1;A_mexicanum;aquatic;0.8524125;0.024; 67.49287; 0.062;50.75062;14028.09; -36.90384;6589.302;0.5149327;0.029;0.234; 52.69061; 9348.431;-14.73004;3208.823;0.5507798;0.031;0.242;44.07846;5988.816;-16.77959;2890.252;144.3201; 0.033;0.246;no
gold1_sans_pince_5_vdt_ok_cropped;gold1;A_mexicanum;aquatic;0.621583;0.023;34.07387;0.058;43.04474;9560.852;-35.256;6065.84; 0.4782205; 0.025;0.207;60.11696;10652.33;-15.23157;3106.477;0.6261053;0.073;0.205;63.93484;12443.16;-9.083948;2699.554;145.5981;0.028;0.218;no
gold3_pince_1_vdt_cropped;gold3;A_mexicanum;aquatic;0.6680217; 0.025;55.34553;0.059;57.34944;11815.98;-37.48198; 8531.803;0.3935257;0.044;0.117;27.45056;5451.064; -5.929695;2185.196;0.564993700421709;0.044; 0.141;29.80895;3860.086;-13.74642; 3186.991; 159.1436; 0.027;0.141;yes
gold3_pince_2_vdt_cropped;gold3;A_mexicanum;aquatic;0.7109963;0.021;51.42916; 0.068;72.79423; 15218.7;-42.8238;6397.048;0.3655164;0.022;0.268;40.52113;13464.37;-12.38134; 4111.454;0.5420664;0.06;0.244;40.3495; 10031.57;-7.7628;1720.452; 148.0106;0.013;0.275;yes
gold3_pince_3_vdt_cropped;gold3;A_mexicanum;aquatic;0.7879254;0.033;43.42298;0.07;51.00621;7420.677;-26.62432;1956.457;0.4820129;0.037;0.494;40.64616; 7722.938;-8.110374;1013.842;0.5736409;0.038;0.37;34.0003;3348.705;-4.505558;466.5946;157.7236; 0.03;0.503;yes
gold3_pince_4_vdt_cropped;gold3;A_mexicanum;aquatic;0.7385543;0.027;57.70503;0.074;48.52565;10046.01;-39.54927;8834.045;0.512195;0.037;0.239;30.53037;6092.502;-10.53345;2739.303;0.6986651;0.039;0.36;47.28967;9979.673;-13.06758;2656.904;150.5488; 0.023;0.364;yes
gold3_pince_5_vdt_cropped;gold3;A_mexicanum;aquatic;0.6702039;0.028; 46.37773; 0.079;48.50787;7617.738;-31.28321;3218.97;0.3750523;0.032;0.409;23.09967;2618.869; -3.864592;990.7118;0.4668305;0.043;0.462;30.29147;6705.956; -5.037502;894.9294;148.9064;0.027;0.473;yes
gold3_pince_6_vdt_good_cropped;gold3;A_mexicanum;aquatic; 1.079602;0.035;77.19891; 0.075;56.29423;10042.73;-41.48585;5369.517;0.4437828;0.037;0.194;25.91906;4787.049;-13.45307; 3166.971;0.5645054;0.037;0.249;39.46092;5493.314;-12.64795;3007.804;167.9062;0.03; 0.252;yes
gold3_pince_8_vdt_cropped;gold3;A_mexicanum;aquatic;0.6266794;0.023;36.11737;0.059;60.46904;18944.06;-29.60631; 5740.028; 0.2762945;0.03;0.209;34.48528;9806.722;-10.42587;2860.652; 0.4507697;0.046;0.213;43.41738;7999.307;-5.866536;2005.08;157.6016;0.023;0.22;yes
gold3_sans_pince_2_vdt_good_cropped;gold3;A_mexicanum;aquatic; 0.5780915;0.024;47.12429;0.054;38.94038;6888.856; -44.05431;6870.293;0.3777251;0.03; 0.351;36.74081;6298.915; -9.783258;2714.203;0.5135404;0.035;0.399;35.25513;4910.824;-6.215554; 1600.652; 141.8201;0.027;0.409;no
gold3_sans_pince_3_vdt_cropped;gold3;A_mexicanum;aquatic;0.2376492;0.023;17.58646;0.059;20.68326;4508.219;-16.29375;6227.129; 0.166261; 0.109;0.306;9.484913; 2386.445; -1.573495;628.5893;0.4265309; 0.171;0.292;8.796712;3651.896;-2.467793;1151.023;129.5527; 0.037;0.314;no
gold3_sans_pince_4_vdt_good_cropped;gold3;A_mexicanum;aquatic;0.5894615;0.026;43.49146;0.074; 49.92402;6269.201;-27.22139;1781.962;0.4635403;0.036;0.251;31.5894; 4054.745; -3.570935; 1489.729;0.3829723;0.037;0.246;23.38508; 3758.528;-6.239893; 2748.713;141.5448;0.034;0.253;no
gold3_sans_pince_6_vdt_very_good_cropped;gold3;A_mexicanum;aquatic;0.3995189;0.024;29.7993;0.056;27.26587;3202.436; -31.7276; 6380.003; 0.3225054;0.045;0.408;26.35629;3763.041; -3.395874;870.3867;0.5614151;0.037; 0.407;37.52627;4513.628;-8.115366;1205.433; 146.6667;0.028;0.416;no
gold4_pince_1_vdt_good_cropped;gold4;A_mexicanum;aquatic;0.8287026;0.033;60.04157;0.086;44.30187;8912.004;-35.67888;8025.427;0.4919701;0.033;0.149;24.9475;4766.141; -16.5585;5856.676;0.4772154;0.045;0.18;22.01954;6700.758;-10.62465;2737.576;140.6714; 0.038; 0.183;yes
gold4_pince_2_vdt_good_cropped;gold4;A_mexicanum;aquatic; 0.8921075;0.035;77.86071;0.192;61.38036;12790.48;-24.39903;4101.843;0.539568;0.038;0.199; 23.93994;3838.376;-6.923704;1998.357;0.6351022;0.061; 0.344;26.54497;3286.675;-8.312885;1393.944; 138.6607;0.333;0.345;yes
gold4_pince_3_vdt_good_cropped;gold4;A_mexicanum;aquatic; 0.6874673; 0.03;37.62891; 0.077;49.98718;7261.427;-18.53834; 1597.777; 0.4298584;0.048;0.341;31.97698;5668.942;-4.922613;394.8193;0.4667875;0.046; 0.415;28.06975;4148.78;-4.673351;393.3873;151.0907;0.021;0.193;yes
gold4_pince_4_vdt_lumiere_bof_cropped;gold4;A_mexicanum;aquatic;1.117837;0.032;68.22713;0.114;73.46798;15661.27;-53.88046; 9950.71;0.6645602;0.035;0.187;50.38799;10073.96;-11.16211;2590.57;0.744528;0.035;0.184;46.73732;5474.256; -12.81793;3965.465;158.7153;0.031; 0.193;yes
gold4_pince_5_vdt_good_cropped;gold4;A_mexicanum;aquatic; 0.839024; 0.031; 47.1666;0.069;53.51827;9579.402;-30.83756;5319.445;0.4045956;0.043;0.208;21.65213;4608.887; -5.636848;2351.848; 0.6710499;0.063; 0.238;28.07328;4131.502;-6.985793;1899.296; 162.1086;0.026;0.245;yes
gold4_pince_6_vdt_good_cropped;gold4;A_mexicanum;aquatic;0.6801616;0.03;41.12166;0.098;61.61304;9135.109;-27.87922;4179.957;0.3818574;0.053;0.274; 23.00972; 3288.668;-5.196269;1738.91;0.5813497;0.087;0.296;32.35277; 3456.45;-7.47094;1287.744;148.2;0.037;0.308;yes
gold4_sans_pince_2_vdt_cropped;gold4;A_mexicanum;aquatic;0.4594919;0.025; 29.95482;0.082;30.83167;3016.576;-22.49306;3403.593;0.3544191;0.035; 0.415;22.16397;2691.269;-4.59857;1252.667;0.4142475;0.045; 0.403;22.89604;4136.403;-7.03084;783.5952;148.6307;0.032; 0.42;no
gold4_sans_pince_3_vdt_good_cropped;gold4;A_mexicanum;aquatic;0.5702021; 0.024;37.08677; 0.061;37.07705; 9536.7;-51.77238;9389.084;0.4203462;0.03; 0.232;33.16104;3426.685;-7.586226;1978.098;0.4654901; 0.05;0.228;31.26365;4902.306;-7.621557;1811.174; 150.1437;0.018;0.238;no
gold4_sans_pince_5_vdt_good_cropped;gold4;A_mexicanum;aquatic;0.5571841; 0.04;30.95144;0.076; 29.7903;3087.522;-28.543;2371.438;0.3383996;0.088;0.286;14.68515; 1799.275;-1.456867;559.8414;0.2847245;0.111;0.285;14.02582;1548.145; -2.452881;435.9737;133.9067;0.029;0.297;no
gold4_sans_pince_6_vdt_average_cropped;gold4;A_mexicanum;aquatic;0.8900791;0.044; 43.1725;0.096;37.00113; 6489.04;-30.28805;6064.754;0.6262548;0.053;0.246;29.45064;3048.005;-14.29014;3473.064;0.8488347;0.055;0.248;43.67232;5099.14; -10.59529;2044.578;150.0567;0.031;0.258;no
gold4_sans_pince_7_vdt_good_cropped;gold4;A_mexicanum;aquatic;0.6736911;0.023;44.1825;0.074;46.40122;9411.332;-32.58872;7638.894; 0.5149412;0.031;0.29; 35.27533;6750.604;-9.576385;1967.228;0.6419111;0.034; 0.291;39.80224;6773.42;-11.21555;1915.194;143.3457; 0.011;0.296;no
ind_geant_5_pince_1_vdt_ok_cropped;ind_geant_5;A_mexicanum;aquatic;1.340674;0.046;74.07255;0.079;65.17302;8612.584;-82.89361;16322.05;0.5760359;0.062;0.198; 20.97436; 5331.918;-10.45419; 1616.427;0.9096407;0.062; 0.359;31.66212;4669.985;-9.180829;1234.445;165.27;0.025;0.368;yes
ind_geant_5_pince_2_vdt_ok_cropped;ind_geant_5;A_mexicanum;aquatic;0.9835835;0.03;57.22361;0.111;67.90056; 10470.56;-36.19086;4966.649;0.5805003;0.043;0.338;39.84758;4820.754;-9.883597;2973.03;0.7000154;0.045;0.372;41.95462;5640.077; -11.35489;2434.203;149.7389;0.363; 0.373;yes
ind_geant_5_pince_4_vdt_ok_cropped;ind_geant_5;A_mexicanum;aquatic;1.366124;0.037;62.84207;0.1; 90.62144; 13696.1;-55.17066;5170.027; 0.7284049; 0.046;0.22;51.59017;6541.481; -15.93009;1982.674;0.9678051;0.047; 0.422; 49.01478;5744.631;-14.39672;2416.76;148.7816;0.018; 0.43;yes
ind_geant_5_pince_5_vdt_ok_cropped;ind_geant_5;A_mexicanum;aquatic;1.354856;0.041; 61.52886;0.092;71.94016; 8170.009;-40.84229;6624.008;0.5216632;0.038;0.357;44.95246; 8511.921;-10.37688;2199.994;0.9249309;0.05;0.186;52.32867;7300.993;-16.53843;1397.09;143.9419;0.039;0.37;yes
ind_geant_5_pince_6_vdt_ok_cropped;ind_geant_5;A_mexicanum;aquatic; 1.257714;0.036;65.43757;0.073;76.21932;14412.49;-51.64515;4565.028;0.6153883;0.045;0.469;40.65025;8049.005; -14.46763;1600.765;0.9632563; 0.045;0.428;50.4955;7204.351;-15.26776;3017.375;145.3794;0.017;0.482;yes
ind_geant_5_pince_7_vdt_ok_cropped;ind_geant_5;A_mexicanum;aquatic;0.4264931;0.024; 21.60254;0.085; 29.79483;4618.333;-17.42462;1756.498; 0.2784995; 0.173;0.396;9.083247; 3145.824;-1.824824;603.2163;0.2161352;0.157;0.389; 10.63199;1485.239;-3.62236;1680.792;141.4148; 0.029;0.405;yes
ind_geant_5_sans_pince_1_vdt_good_cropped;ind_geant_5;A_mexicanum;aquatic;1.152521;0.036;58.36075;0.072;56.73025;7907.37;-49.42167;6498.422;0.54244;0.046;0.231; 36.82048;4734.687;-12.4471;713.3943; 0.7677945;0.043;0.272;39.0712;4367.351; -10.07173;903.0052;147.4652;0.039;0.274;no
ind_geant_5_sans_pince_2_vdt_bof_cropped;ind_geant_5;A_mexicanum;aquatic; 0.5574845;0.029;38.55891;0.053;44.72721;14108.26;-38.94339;7661.883;0.4603176;0.064;0.339;20.90099; 3232.487;-5.257608;1180.581;0.6669268;0.066;0.302;27.94603;4380.517;-10.53607;1858.731;127.8432; 0.344;0.355;no
ind_geant_5_sans_pince_3_vdt_bof_cropped;ind_geant_5;A_mexicanum;aquatic;0.862216;0.029;50.65796;0.05;50.50356;6093.658;-81.45413;12786.84;0.6138306;0.034; 0.383;42.41875;3548.795; -9.08026;1401.284;0.7796099; 0.039;0.325;53.45377;7604.269;-14.29589;2536.177; 142.5852;0.028;0.389;no
ind_geant_5_sans_pince_4_vdt_good_cropped;ind_geant_5;A_mexicanum;aquatic;0.6763243;0.02;37.59382;0.039; 53.51726;6565.719;-66.14119;18986.67;0.4471781; 0.028;0.276;37.30384;4612.825; -9.660445;2921.326; 0.4183267;0.035;0.259; 31.30447;5911.34;-11.93707;2041.747;142.1942; 0.024;0.281;no
pink2_pince_1_vdt_bof_cropped;pink2;A_mexicanum;aquatic;0.9547828; 0.032;59.56256;0.094;65.03773;9124.4;-28.11179;2263.618;0.4489045; 0.042;0.375; 45.77566;8036.007; -11.6005;1835.842;0.7521184;0.038;0.316;50.40392; 6754.832; -16.63785;2225.739;154.7881;0.024;0.383;yes
pink2_pince_2_vdt_good_cropped;pink2;A_mexicanum;aquatic;1.033492; 0.035;70.40559;0.111;73.52184;13463.9;-39.19007;4758.49;0.5478353;0.048;0.213; 48.38237;9758.141;-9.436696;2552.253;0.7729954;0.034;0.242; 57.22128;8473.251;-12.13951;3832.543;152.3046;0.026;0.244;yes
pink2_pince_3_vdt_good_cropped;pink2;A_mexicanum;aquatic;0.814863;0.032;53.57149;0.108;60.01795;7036.865;-27.44933; 4676.774;0.3643295;0.105;0.228;32.52565;7094.123;-5.922844;1333.75;0.6208895;0.043;0.305;35.67562;7277.959; -9.500137;1839.741;142.6808;0.025;0.313;yes
pink2_pince_4_vdt_good_cropped;pink2;A_mexicanum;aquatic;0.9169669;0.031; 45.20106;0.099;69.53672;8070.785;-38.67579;4405.184;0.4207881;0.033;0.304;40.92322;6513.519; -12.33025;2044.506;0.7504514;0.046;0.323;30.24452; 2321.746;-21.21377;2196.071;141.1253;0.021;0.325;yes
pink2_pince_5_vdt_good_cropped;pink2;A_mexicanum;aquatic;0.3810417;0.028;25.8049;0.064;24.27213;3148.39; -24.87232;2562.615;0.2736145;0.098; 0.49; 10.47725;1919.934;-2.161807;452.4251;0.4258383;0.119;0.595;20.72;2530.169; -2.449029;712.6103;134.6662;0.026;0.604;yes
pink2_pince_6c_vdt_good_cropped;pink2;A_mexicanum;aquatic;0.4262868;0.035;29.47039; 0.121;27.53852;4461.82;-12.34434;1432.158;0.247802;0.101;0.383;10.69551; 631.5743;-4.53484; 1186.429;0.3463613;0.098; 0.441;13.32482;1123.232; -3.612392;825.8092;139.2931;0.034;0.444;yes
pink2_sans_pince_1_vdt_au_vol_cropped;pink2;A_mexicanum;aquatic;0.7858182;0.035;41.59118; 0.079; 44.94293;11317.1; -30.78855;4092.503;0.3960831;0.048;0.329;25.68323;5793.194;-11.01896;3198.196;0.6841811;0.048; 0.333;32.01197;7039.526;-10.44758; 3758.065;151.3639;0.032;0.345;no
pink2_sans_pince_2_vdt_good_cropped;pink2;A_mexicanum;aquatic;0.8012373;0.025;50.51907;0.043;53.70723;10401.31; -84.30106;19054.23;0.5125423;0.026;0.337;41.34871;5782.724;-7.319312;3504.965;0.611464;0.037; 0.336;35.91745;3572.83;-7.599054;3977.06;149.232;0.022; 0.338;no
pink2_sans_pince_3_vdt_good_cropped;pink2;A_mexicanum;aquatic;0.4797114;0.025;33.46337;0.055;43.98461;7749.418;-41.04656;7310.811;0.31552;0.03;0.254;29.31407;5893.583;-11.91998;3754.467;0.3246702;0.077; 0.266;19.76884;3831.684;-7.250621;2510.709;139.1271;0.025;0.275;no
pink2_sans_pince_4_vdt_good_cropped;pink2;A_mexicanum;aquatic;0.7987475;0.03;46.18009; 0.067;59.32785;7753.258; -36.65111;4548.501;0.4419725;0.028;0.298;37.06264; 6498.408;-7.160121;3421.054;0.6259221;0.044;0.295;50.4992;5741.856;-5.707442;2724.304;147.1743;0.029;0.305;no
